,filename,date,page,house_senate,part,granule,title_name,name,token_counts,china_sentences,name_clean,party
1030,CREC-2025-03-24__CREC-2025-03-24-pt1-PgH1207.txt,2025-03-24,PgH1207,H,1,,Mr. BABIN,Babin,2273,"['Given the transformational nature of these emerging technologies and their impact on national security, this language is necessary to protect our investments and breakthroughs from hostile powers such as the Chinese Communist Party.']",Babin,R
74,CREC-2025-03-24__CREC-2025-03-24-pt1-PgS1802-4.txt,2025-03-24,PgS1802,S,1,4.0,,,1465,"[""86, a resolution expressing the sense of the Senate regarding United Nations General Assembly Resolution 2758 (XXVI) and the harmful conflation of China's ``One China Principle'' and the United States' ``One China Policy''.""]",None,
69,CREC-2025-03-24__CREC-2025-03-24-pt1-PgH1209.txt,2025-03-24,PgH1209,H,1,,Mr. BABIN,Babin,4590,"[""Today, much of the world is reliant on cement and concrete produced in China, which is home to the world's largest cement industry."", 'It should go without saying that it is a big problem to be at the whims of the Chinese Communist Party when it comes to materials that are absolutely critical to our national defense, economic security, and our energy independence.', ""China's greenhouse gas emissions exceed all of the developed nations in the world combined."", 'industrial manufacturing is nearly 28 percent cleaner than our competitors, including China.']",Babin,R
121,CREC-2025-03-24__CREC-2025-03-24-pt1-PgH1197.txt,2025-03-24,PgH1197,H,1,,Mr. BABIN,Babin,4624,"['(9) Mathematical modeling has been a strong educational priority globally, especially in China, where participation in United States mathematical modeling challenges in high school and higher education is orders of magnitude higher than in the United States, and Chinese teams are taking a majority of the prizes.', ""America's K-12 students are falling further and further behind, particularly behind China's students, academically."", ""The United States' ability to create cutting-edge technologies has been vital to defeating our adversaries, especially as our adversary, Communist China, continues to make huge investments in STEM to try and out-compete the U.S."", 'Beating China and maintaining our global competitive edge begins with strengthening STEM education in K-12 schools.']",Babin,R
949,CREC-2025-03-24__CREC-2025-03-24-pt1-PgH1202.txt,2025-03-24,PgH1202,H,1,,Mr. BABIN,Babin,1952,"['We must ensure that the United States remains at the forefront of this industry, especially as the Chinese Communist Party is advancing in the remote sensing sector.']",Babin,R
510,CREC-2025-03-24__CREC-2025-03-24-pt1-PgS1807-5.txt,2025-03-24,PgS1807,S,1,5.0,,,1452,"[""DAVID PERDUE, OF GEORGIA, TO BE AMBASSADOR EXTRAORDINARY AND PLENIPOTENTIARY OF THE UNITED STATES OF AMERICA TO THE PEOPLE'S REPUBLIC OF CHINA.""]",None,
516,CREC-2025-03-24__CREC-2025-03-24-pt1-PgH1193-4.txt,2025-03-24,PgH1193,H,1,4.0,,,559,"[""Speaker, during President Trump's inaugural address, he spoke of an aggressive artificial intelligence agenda to keep America competitive with the Chinese Communist Party.""]",None,
1196,CREC-2025-03-24__CREC-2025-03-24-pt1-PgH1205.txt,2025-03-24,PgH1205,H,1,,Mr. BABIN,Babin,2356,"['As this body is aware, our adversaries, like the Chinese Communist Party, are quickly closing the gap on innovative technologies like artificial intelligence, quantum information science, and advanced manufacturing.', ""{time} 1515 The CCP's efforts to outspend, out-educate, and outpace the the United States in these critical areas are increasingly concerning and something that we cannot ignore."", 'China has surged from 3 to 57 since the start of the century.', ""Operating in a silo is never the best practice when it comes to conducting scientific research, especially as our country looks to maximize the use of Americans' taxpayer dollars AND bolster our science and technology sectors to combat the growing threat of the Chinese Communist Party."", 'As we face increased competition from Communist China, we must ensure WE lead the world in research and development, including in areas like Artificial Intelligence, so that our country--not Communist China-- continues to set the rules of the road.']",Babin,R
696,CREC-2025-03-24__CREC-2025-03-24-pt1-PgE245-2.txt,2025-03-24,,,1,2.0,,,1025,"[""SR-222 Committee on Foreign Relations Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues To hold hearings to examine People's Republic of China influence and the status of Taiwan's diplomatic allies in the Western Hemisphere."", ""86, expressing the sense of the Senate regarding United Nations General Assembly Resolution 2758 (XXVI) and the harmful conflation of China's ``One China Principle'' and the United States' ``One China Policy'', S."", ""98, condemning Beijing's destruction of Hong Kong's democracy and rule of law, S."", '821, to provide for increased reporting regarding Department of State Taiwan guidelines, S.']",None,
1023,CREC-2025-03-24__CREC-2025-03-24-pt1-PgH1217.txt,2025-03-24,PgH1217,H,1,,Mr. BOST,Bost,2569,"[""A bill to prohibit the disclosure of certain genetic information to the People's Republic of China, and for other purposes; to the Committee on Energy and Commerce."", ""A bill to ensure that goods made using or containing cobalt refined in the People's Republic of China do not enter the United States market under the presumption that the cobalt is extracted or processed with the use of child and forced labor in the Democratic Republic of Congo; to the Committee on Ways and Means, and in addition to the Committees on Foreign Affairs, and Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.""]",Bost,R
866,CREC-2025-03-24__CREC-2025-03-24-pt1-PgH1201.txt,2025-03-24,PgH1201,H,1,,Mr. BABIN,Babin,2099,"['A 2023 survey by the Center for Strategic and International Studies found 224 reported instances of Chinese espionage directed at the United States since 2000.', 'From my vantage point of serving on the Science, Space, and Technology Committee and the Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party, I certainly understand the risks.', 'Many of us who are delving into these topics have really glommed on to the risks posed to our research enterprise from adversaries like China and Russia.', 'Everyone in this Chamber knows the growing threat from the Chinese Communist Party.', ""This ambiguity could also allow for loopholes, allowing malign foreign talent recruitment programs in our universities and other research labs to recruit researchers or access sensitive data, effectively funding breakthrough research for the Chinese Communist Party with American taxpayers' dollars."", ""China's government has embarked on an aggressive strategy to acquire critical American research and intellectual property.""]",Babin,R
173,CREC-2025-03-24__CREC-2025-03-24-pt1-PgD279.txt,2025-03-24,,,1,,,,1527,"[""David Perdue, of Georgia, to be Ambassador to the People's Republic of China.""]",None,
741,CREC-2025-03-24__CREC-2025-03-24-pt1-PgE241-2.txt,2025-03-24,,,1,2.0,Mr. CLYBURN,Clyburn,500,"['Her artistic talents extended to clothing and hat design, ceramics, painting, and China painting, which she embraced at age 60.']",Clyburn,D
932,CREC-2025-03-24__CREC-2025-03-24-pt1-PgD284-2.txt,2025-03-24,,,1,2.0,,,1090,"[""Subcommittee on Africa, hearing entitled ``Metals, Minerals, and Mining: How the CCP Fuels Conflict and Exploitation in Africa'', 10 a.m., 2200 Rayburn."", ""2212, the ``DHS Intelligence Rotational Assignment Program and Law Enforcement Support Act''; legislation on the National Strategy for School Security Act of 2025; legislation on the Countering the Chinese Communist Party's United Front Work Department of 2025; legislation on the Strengthening Oversight of DHS Intelligence Act; and legislation on the DHS Basic Training Accreditation Improvement Act of 2025, 2 p.m., 310 Cannon.""]",None,
241,CREC-2025-03-24__CREC-2025-03-24-pt1-PgD285.txt,2025-03-24,,,1,,,,1687,"[""March 26, Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues, to hold hearings to examine People's Republic of China influence and the status of Taiwan's diplomatic allies in the Western Hemisphere, 2:30 p.m., SD-419."", ""86, expressing the sense of the Senate regarding United Nations General Assembly Resolution 2758 (XXVI) and the harmful conflation of China's ``One China Principle'' and the United States' ``One China Policy'', S."", ""98, condemning Beijing's destruction of Hong Kong's democracy and rule of law, S."", '821, to provide for increased reporting regarding Department of State Taiwan guidelines, S.']",None,
630,CREC-2025-03-25__CREC-2025-03-25-pt1-PgH1260-3.txt,2025-03-25,PgH1260,H,1,3.0,Mr. DELUZIO,Deluzio,9481,"['Elon Musk, the unchecked billionaire leading the efforts to end Social Security as we know it, owes the success of his company to billions in Federal contracts and huge factories in China.', 'The reality is in this country, and as you know in western Pennsylvania, we have watched industry after industry leave the country for China and Mexico.', ""China has 50 percent of the world's steel."", 'He did cite one country that did a bit of both, China.', 'China did a lot of manufacturing.', 'If China had just done comparative advantage, then they would have been growing rice for 30 years.', 'What is not fair is seeing American workers undercut by governments like Communist China that use the power of the state to dump artificially cheap products on our markets.', 'We have got to beef up trade enforcement on Communist China and others like them.']",Deluzio,D
456,CREC-2025-03-25__CREC-2025-03-25-pt1-PgH1267.txt,2025-03-25,PgH1267,H,1,,Mr. SCHWEIKERT,Schweikert,4802,"['We are consuming more money; it is us, China, Europe.']",Schweikert,R
701,CREC-2025-03-25__CREC-2025-03-25-pt1-PgS1836.txt,2025-03-25,PgS1836,S,1,,,,1475,"['199, a bill to amend the Internal Revenue Code of 1986 to provide special rules for the taxation of certain residents of Taiwan with income from sources within the United States.', ""86, a resolution expressing the sense of the Senate regarding United Nations General Assembly Resolution 2758 (XXVI) and the harmful conflation of China's ``One China Principle'' and the United States' ``One China Policy''.""]",None,
790,CREC-2025-03-25__CREC-2025-03-25-pt1-PgS1825.txt,2025-03-25,PgS1825,S,1,,Presiding Officer,Presiding Officer,1435,"['They think it started in the Wuhan Institute of Virology in Wuhan, China, where the first folks who got ill first appeared.', 'The Wuhan Institute of Virology--the Chinese lab that was conducting this research on engineering the virus--was funded in part with American taxpayer dollars.', 'We also know that when the virus became really contagious, other than these two people who were working in the Wuhan lab, it became contagious in Wuhan, China, a few miles away from the Wuhan lab--pretty curious.']",Presiding Officer,
1089,CREC-2025-03-25__CREC-2025-03-25-pt1-PgD294.txt,2025-03-25,,,1,,,,625,"[""Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues, to hold hearings to examine People's Republic of China influence and the status of Taiwan's diplomatic allies in the Western Hemisphere, 2:30 p.m., SD-419.""]",None,
859,CREC-2025-03-25__CREC-2025-03-25-pt1-PgS1824.txt,2025-03-25,PgS1824,S,1,,Mr. KENNEDY,Kennedy,1411,"['I think it is virtually unchallenged that China, if it could, would destroy the United States of America--not the people of China, but the Government of China.', ""So if China is determined to--let me try to use a more neutral word-- to undermine the United States of America, I could see where we would limit, want to limit, some of our goods such as, let's say, semiconductor design equipment."", 'We would limit the sale of some of our precious technology to China.']",Kennedy,R
449,CREC-2025-03-25__CREC-2025-03-25-pt1-PgH1232-3.txt,2025-03-25,PgH1232,H,1,3.0,Ms. FOXX,Foxx,9368,"[""In April 2023, the former chair of Harvard University's chemistry and chemical biology department was sentenced to prison for lying about his affiliation with and income from the Wuhan University of Technology in Wuhan, China."", 'In July 2024, University of Maryland, College Park paid $500,000 for failing to disclose foreign funding from the Chinese companies of three researchers who simultaneously received Federal grants.', 'In September 2024, the Research Foundation of the State University of New York paid $313,574 after a scientist failed to disclose Chinese support.', 'In December 2024, the University of Delaware paid $700,000 for not disclosing that a faculty member receiving a NASA grant taught at a Chinese university.', 'A 2024 joint investigation between the House Select Committee on the Chinese Communist Party and the House Committee on Education and Workforce found 21 joint U.S.-Chinese education institutes.', 'Just those two schools alone totaled over $40 million in unreported contracts with China.']",Foxx,R
588,CREC-2025-03-25__CREC-2025-03-25-pt1-PgH1241.txt,2025-03-25,PgH1241,H,1,,Mr. WALBERG,Walberg,28474,"['Foreign nations, including our biggest adversaries like the Chinese Communist Party, contribute billions of dollars to American universities.', 'Last year, a congressional investigation of two research universities uncovered nearly $40 million in unreported research contracts with the Chinese Communist Party.', 'We should be loud and clear: No American university should be helping the hidden agendas of the Chinese Communist Party or other nations continue to threaten U.S.', 'In just two universities alone, congressional investigators have uncovered nearly $40 million in unreported research contracts tied to the Chinese Communist Party.', 'universities comes from just four sources, including China and Qatar, nations that oftentimes have strategic and ideological conflicts with U.S.', ""From the incarceration of Japanese Americans in World War II to the racial profiling of Chinese-American scientists under Trump's failed first term China Initiative, countless Asian Americans have had their lives destroyed because our government falsely accused them of being spies."", 'Chair, I appreciate the concerns of my colleague, but my committee has worked very closely with the Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party to combat malign influence at our universities.', 'The influence is known as transnational repression, which is efforts by the CCP to exert influence over dissidents, dissidents that could be coming here to gain a great education at our universities but are discouraged by the CCP.', 'This legislation would encourage students seeking an education here and be able to push back against the malign influence of the CCP.', 'Chair, each year adversarial nations like China, North Korea, Iran, and Russia attempt to buy the ability to influence our next generation through donations and contracts with American colleges and universities.', 'schools had nearly 3,000 contracts with China valued at no less than $2.32 billion.', ""The DETERRENT Act includes language from my own legislation, the No Contracts With Foreign Adversaries Act, which requires a college or university to be transparent about the reason they might want to contract with one of the four countries currently designated by our government as a ``country of concern.'' It is true that there could be an academic purpose for a partnership with a country like China, North Korea, Iran, or Russia, but these partnerships cannot come at the expense of our national security, research integrity, or our future generations."", 'Department of State has paused federal efforts around exchange programs, such as Fulbright and Gilman Scholars, at a time when the United States needs more students to study the Chinese language.', ""For decades, the Chinese Communist Party, Iran, and Russia have targeted America's college systems by pushing dangerous propaganda aimed at influencing impressionable students."", 'Chair, imagine our esteemed universities, pillars of free thought and innovation, quietly channeling millions into investments linked to the Chinese Communist Party, Russian oligarchs, or the Iranian regime.', 'colleges and universities have received over $1 billion from Chinese Communist Party-affiliated sources.', 'The RIFA Act ensures private colleges and universities disclose whether they are investing their endowments in hostile nations like China, Russia, Iran, and North Korea.', 'You see, for example, a congressional investigation found that there were nearly $40 million in contracts with the CCP or CCP-linked organizations.', 'The waiver requirement would slow down and require unprecedented approval by the Department of Education for all contracted academic research collaborations and all student academic exchanges or joint cultural and education programs with countries such as China, including collaborations, exchanges, and programs that have minimal national security concern or connection to critical technologies.', 'Just in the last 2 years, prominent research faculty at Harvard, Stanford, the University of Maryland, and the University of Delaware were found to not have disclosed foreign funding from Chinese sources, just to name a few examples.', 'Chair, this bill will end the influence and downright espionage of the Chinese Communist Party on our American College campuses.', 'Last Congress, the Select Committee on the CCP issued a remarkable report highlighting how UC Berkeley partnered with Tsinghua University and the city of Shenzen to create the Tsinghua-Berkeley-Shenzen Institute, which actively partnered with a Chinese research lab in April 2023 to improve advanced chip technology.', 'Why in the world should the Chinese Communist Party, which controls the city of Shenzen and Tsinghua University, have access to American research on sensitive technology with military applications?', 'Unbelievably, the China University of Geosciences in Wuhan then partnered with Alfred University with this research.', 'China University of Geosciences also happened to be doing very similar weapons research for the CCP.', ""How do we know that our research and development in our hypersonic weapons isn't going straight to the CCP?"", ""Additionally, according to the FBI, the CCP is the world's principal infringer of intellectual property."", 'We need to stop the Chinese Communist Party, the number one threat to our security and the security of the world, from taking advantage of American innovation and the openness of our university campuses.', ""For years, countries like the People's Republic of China have used our own universities to advance agendas that hurt American security."", ""colleges and universities more than the People's Republic of China."", ""This places the Chinese authorities in a real position of influence among our young people, all the more so because our own government doesn't try to hold our colleges and universities accountable to the basic disclosure standards."", ""By failing to enforce our laws, we are signaling to our enemies, especially China, that we don't care if they use and abuse the American higher education system."", ""As a result, we really don't have a clear idea of the extent of China's influence campaign against the youth of America."", 'Chairman, the intent of this amendment, as I understand it, is to ensure that special administrative regions, such as Hong Kong, are listed as a foreign country of concern if they are within a country of concern.', ""The DETERRENT Act does a very valuable service by requiring proper reporting and ensuring that four countries, Iran, Russia, North Korea, and China, who actively seek to undermine our sovereignty, are designated as ``foreign countries of concern.'' Think about that list."", 'There is no country better than China at money laundering.', ""If we ensure that their reporting threshold is zero for the People's Republic of China, that only solves one part of the equation."", 'What happens when the leaders of the PRC attempt to continue their malign influence through Hong Kong or Macau?', 'It could really marginalize the admirable intent of this legislation and could only temporarily, potentially, derail the PRC when we know they are going to try to get around it.', 'Chair, I emphasize that we are talking about countries like Iran, Russia, North Korea, and China.', ""This amendment ensures that special administrative regions of China, including Hong Kong and Macau, are covered under the definition of a ``foreign country of concern'' in this bill."", 'It is a commonsense edit that secures American colleges and universities against the number one existential threat to our way of life: the Communist Party of China.', '4001 note; Public Law 115-232); and ``(B) a Chinese military company that is identified on the list required by section 1260H of the William M.', 'Chair, this amendment ensures that Chinese military companies are included as foreign entities of concern for the purposes of this bill, which would subject such companies to a strict zero- dollar threshold for gifts and contracts.', ""The section 1260H list was established in the FY 2021 National Defense Authorization Act and has since been used as a blacklist for Chinese military companies that are directly or indirectly owned, controlled, or beneficially owned by the People's Liberation Army or the Central Military Commission of the Chinese Communist Party."", ""They are here to steal our technology and advance China's military modernization efforts."", ""Some of America's most sensitive property is housed or developed at our universities, and if there is a whiff of partnership between the institution of higher education and a Chinese military company, the American people deserve to know the details of every last gift and contract."", ""Chair, the definition of a ``foreign entity of concern'' in this bill would include any company subject to the jurisdiction or direction of a government like China's."", ""While constructive, there is still nothing in the underlying text of this bill and nothing within the definition of a ``foreign entity of concern'' that would automatically refer to the section 1260H list of Chinese military companies."", 'Since the section 1260H list is something that the Secretary of Defense is instructed to update, it is possible that there is a natural delay as to when Chinese military companies are designated as foreign entities of concern for the purposes of this act.', 'As we go into the next phase of warfare that is not just on the battlefield but is cyber war and its capabilities therein, we know that China is aggressive in these spaces.', ""We don't need to enable the Chinese military through modernization, weaponization, or their attack on us, our Constitution, or our way of life."", ""This isn't calling every Chinese individual a bad actor but is acknowledging the fact that they are our enemy and not our friend, and they want to supplant us as the sole world power."", ""Chairman, this amendment would add Chinese military companies to the definition of ``foreign entity of concern.'' It seems to me that if it is a Chinese military company, it would already be considered under the definition of an ``entity of concern'' because they are subject to the jurisdiction or direction of China, which is a foreign country of concern."", ""In my Democratic colleagues' minds, it appears that gifts from Russia, China, and Iran are the exact same gifts as those from England."", 'We know that President Trump is the biggest threat to our education system in America right now, not someone in North Korea or China.', 'China, Russia, North Korea, and Iran represent countries that are actively hostile to the U.S.', 'I know when it comes to Russia or China, my colleagues like to talk about rule-based international order.', 'China, Russia, North Korea, and Iran represent countries that are actively hostile to the U.S.', 'Any country--Iran, China, Russia--any country that has an active investigation or has arrest warrants for their leadership in the International Criminal Court system and these international systems that are in place was to prevent and, again, protect the interests of the American people.', 'Is this really about China and Russia and protecting our interests, or is this really about trying to not protect certain people for speaking up in regard to what is happening in Gaza?']",Walberg,R
1016,CREC-2025-03-25__CREC-2025-03-25-pt1-PgD291.txt,2025-03-25,,,1,,,,950,"[""119-38) that amends the definition of `foreign entity of concern' to include Chinese military companies identified on the list required by section 1260H of the FY2021 NDAA (colloquially referred to as the ``Section 1260H list'').""]",None,
934,CREC-2025-03-25__CREC-2025-03-25-pt1-PgD292.txt,2025-03-25,,,1,,,,1334,"[""METALS, MINERALS, AND MINING: HOW THE CHINESE COMMUNIST PARTY FUELS CONFLICT AND EXPLOITATION IN AFRICA Committee on Foreign Affairs: Subcommittee on Africa held a hearing entitled ``Metals, Minerals, and Mining: How the CCP Fuels Conflict and Exploitation ] in Africa''.""]",None,
987,CREC-2025-03-25__CREC-2025-03-25-pt1-PgS1834-3.txt,2025-03-25,PgS1834,S,1,3.0,Mr. PAUL,Paul,1671,"[""A bill to require the Secretary of the Treasury to conduct a study and prepare a report on the exposure of the United States to the financial sector of the People's Republic of China, and for other purposes; to the Committee on Banking, Housing, and Urban Affairs.""]",Paul,R
1087,CREC-2025-03-26__CREC-2025-03-26-pt1-PgH1277-4.txt,2025-03-26,PgH1277,H,1,4.0,Mr. SELF,Self,370,"['Make no mistake, China, Russia, and Iran are exerting influence across the globe that is causing harm and posing major threats to both the United States and our allies.', 'The CCP has made significant advances in warfare, and we must remain vigilant while also building up our defense industrial base in order to be prepared for any scenario.']",Self,R
209,CREC-2025-03-26__CREC-2025-03-26-pt1-PgD298.txt,2025-03-26,,,1,,,,446,"[""CHINA AND TAIWAN Committee on Foreign Relations: Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues concluded a hearing to examine People's Republic of China influence and the status of Taiwan's diplomatic allies in the Western Hemisphere, after receiving testimony from Evan Ellis, Center for Strategic and International Studies, Washington, D.C.; and Samantha Custer, William and Mary Global Research Institute, Williamsburg, Virginia.""]",None,
424,CREC-2025-03-26__CREC-2025-03-26-pt1-PgH1280.txt,2025-03-26,PgH1280,H,1,,,,826,"['Most sneakers are made with rubber, synthetic fabrics, and leather, stuff that gets imported from China and other places.', 'They can protect American jobs, boost key industries, and stop countries like China from flooding our market with cheap, low-quality goods.']",None,
579,CREC-2025-03-26__CREC-2025-03-26-pt1-PgH1300.txt,2025-03-26,PgH1300,H,1,,Mr. CONNOLLY,Connolly,3317,"['A bill to improve the cooperation between the United States and the authorities of Taiwan with respect to travel and tourism; to the Committee on Foreign Affairs, and in addition to the Committees on Energy and Commerce, Homeland Security, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.', 'A bill to amend title 46, United States Code, to clarify that port infrastructure development program funds may be used to replace Chinese port crane hardware or software, and for other purposes; to the Committee on Transportation and Infrastructure.']",Connolly,D
220,CREC-2025-03-26__CREC-2025-03-26-pt1-PgS1872-2.txt,2025-03-26,PgS1872,S,1,2.0,,,1315,"[""86, a resolution expressing the sense of the Senate regarding United Nations General Assembly Resolution 2758 (XXVI) and the harmful conflation of China's ``One China Principle'' and the United States' ``One China Policy''."", ""98, a resolution condemning Beijing's destruction of Hong Kong's democracy and rule of law.""]",None,
543,CREC-2025-03-26__CREC-2025-03-26-pt1-PgH1279.txt,2025-03-26,PgH1279,H,1,,,,537,"['For years, adversaries, like the Chinese Communist Party, have funneled billions into U.S.', 'Foreign regimes, including the Chinese Communist Party, have capitalized on loopholes in the Higher Education Act to expand their influence.', 'China alone has sent over $1 billion to U.S.', 'universities and the CCP.']",None,
361,CREC-2025-03-26__CREC-2025-03-26-pt1-PgH1295.txt,2025-03-26,PgH1295,H,1,,Mr. GROTHMAN,Grothman,2813,"['I remind everybody that people who come here from India, who are the most successful minority, Philippines, China, Japan, Cuba, the coast of western Africa all are succeeding wildly in America.', 'Statistically, these groups are doing better than the native born, be it the Muslims, Hmong, Chinese, Filipino, Cuban, Nigerian, what have you.']",Grothman,R
864,CREC-2025-03-26__CREC-2025-03-26-pt1-PgS1843-3.txt,2025-03-26,PgS1843,S,1,3.0,Mr. BARRASSO,Barrasso,854,"['These are the oil smugglers who move Iranian oil to China.', 'These sanctions against Iran help put communist China on notice.', 'These fleets are moving Iranian oil and selling it to China at a discount, making Iran richer and making China more powerful.', ""Remember, 90 percent of Iran's exports of oil go to communist China."", ""As the Wall Street Journal editorial board recently wrote, ``he Iranian oil-export problem is really a Chinese import problem'' because they are getting the cheap oil.""]",Barrasso,R
131,CREC-2025-03-26__CREC-2025-03-26-pt1-PgH1284-7.txt,2025-03-26,PgH1284,H,1,7.0,Mr. GUTHRIE,Guthrie,8070,"['By weakening these rules, we open our markets to companies in countries that manufacture low-efficiency products, like from China, at the expense of American companies and American families.']",Guthrie,R
119,CREC-2025-03-26__CREC-2025-03-26-pt1-PgD300.txt,2025-03-26,,,1,,,,685,"[""86, expressing the sense of the Senate regarding United Nations General Assembly Resolution 2758 (XXVI) and the harmful conflation of China's ``One China Principle'' and the United States' ``One China Policy'', S."", ""98, condemning Beijing's destruction of Hong Kong's democracy and rule of law, S."", '821, to provide for increased reporting regarding Department of State Taiwan guidelines, S.']",None,
973,CREC-2025-03-27__CREC-2025-03-27-pt1-PgS1905-2.txt,2025-03-27,PgS1905,S,1,2.0,Mr. LEE,Lee,2242,"[""A bill to require the United States Trade Representative to regularly monitor industrial subsidies provided by the Government of the People's Republic of China and submit a report on the risks posed by those subsidies, and for other purposes; to the Committee on Finance.""]",Lee,D
1094,CREC-2025-03-27__CREC-2025-03-27-pt1-PgS1891.txt,2025-03-27,PgS1891,S,1,,Mrs. BLACKBURN,Blackburn,1591,"['At the same time, evidence continued to mount that Hunter sold access to his father in foreign countries, including China and Russia.']",Blackburn,R
26,CREC-2025-03-27__CREC-2025-03-27-pt1-PgS1900.txt,2025-03-27,PgS1900,S,1,,Presiding Officer,Presiding Officer,1637,"['Consumer confidence is now at its lowest point in 12 years, and there is talk of a recession, or stagflation--persistent inflation--and we have countries that are allies in helping to fight China, countries like Canada and Japan and Europe, who are already making plans to retaliate against us.', 'Now is the time to open up alliances in more markets, counter the Chinese in places like South America and Africa, and work to our advantages on alliances so that we have more markets to sell into at cheaper rates and continue the innovation that has been the hallmark of this Nation.', 'We build alliances to stop the Chinese from doing the things that they do.']",Presiding Officer,
1076,CREC-2025-03-27__CREC-2025-03-27-pt1-PgH1333-4.txt,2025-03-27,PgH1333,H,1,4.0,Mr. CASTEN,Casten,6516,"[""A bill to require that any person that maintains an internet website or that sells or distributes a mobile application that stores and maintains information collected from such website or application in the People's Republic of China to disclose that such information is stored and maintained in the People's Republic of China and whether the Chinese Communist Party or a Chinese State-owned entity has access to such information; to the Committee on Energy and Commerce."", ""A bill to amend the Taiwan Allies International Protection and Enhancement Initiative (TAIPEI) Act of 2019 to provide that the United States, as a member of any international organizations, should oppose any attempts by the People's Republic of China to resolve Taiwan's status by distorting the decisions, language, policies, or procedures of the organization, and for other purposes; to the Committee on Foreign Affairs.""]",Casten,D
943,CREC-2025-03-27__CREC-2025-03-27-pt1-PgD305.txt,2025-03-27,,,1,,,,1252,"[""1716, to deter Chinese aggression towards Taiwan by requiring the Secretary of the Treasury to publish a report on financial institutions and accounts connected to senior officials of the People's Republic of China, to restrict financial services for certain immediate family of such officials, and for other purposes, with an amendment (H.""]",None,
885,CREC-2025-03-27__CREC-2025-03-27-pt1-PgH1333-3.txt,2025-03-27,PgH1333,H,1,3.0,,,637,"[""A bill to deter Chinese aggression towards Taiwan by requiring the Secretary of the Treasury to publish a report on financial institutions and accounts connected to senior officials of the People's Republic of China, to restrict financial services for certain immediate family of such officials, and for other purposes; with an amendment (Rept.""]",None,
174,CREC-2025-03-27__CREC-2025-03-27-pt1-PgS1907.txt,2025-03-27,PgS1907,S,1,,,,1163,"[""86, a resolution expressing the sense of the Senate regarding United Nations General Assembly Resolution 2758 (XXVI) and the harmful conflation of China's ``One China Principle'' and the United States' ``One China Policy''.""]",None,
276,CREC-2025-03-27__CREC-2025-03-27-pt1-PgH1317.txt,2025-03-27,PgH1317,H,1,,Mr. WALBERG,Walberg,194,"['While I am not against EVs or certainly against reducing emissions, we must not push misguided regulations that limit consumer choice, burden the American auto industry, and increase reliance on China.']",Walberg,R
1020,CREC-2025-03-27__CREC-2025-03-27-pt1-PgS1894.txt,2025-03-27,PgS1894,S,1,,Mr. SULLIVAN,Sullivan,5016,"['So the final thing on this Executive order, which we are seeing--and this is where some of my Democratic colleagues in the Senate have actually been helpful to me, so I appreciate that--so we have a huge opportunity for a giant LNG project in Alaska that will be a counter to the Chinese Belt and Road Initiative by getting clean-burning Alaska natural gas to our allies in Asia, to Alaskans, to our military, to Americans.']",Sullivan,R
715,CREC-2025-03-27__CREC-2025-03-27-pt1-PgH1330.txt,2025-03-27,PgH1330,H,1,,,,3597,"['The Representative from Michigan, Representative Tlaib, introduced a measure that would classify Israel as an adversary of the United States alongside the likes of China, Iran, and North Korea.']",None,
1051,CREC-2025-03-27__CREC-2025-03-27-pt1-PgS1879-6.txt,2025-03-27,PgS1879,S,1,6.0,Mr. GRASSLEY,Grassley,7212,"['We also made public authentic bank records showing deep financial connection between and among the Biden family and China.', 'Clearly, this is a focus against communist China, and Wyoming energy producers and Wyoming energy workers are going to lead the charge to victory.']",Grassley,R
223,CREC-2025-03-27__CREC-2025-03-27-pt1-PgH1306-6.txt,2025-03-27,PgH1306,H,1,6.0,Ms. BALINT,Balint,477,"['Meanwhile, China profits off of our bad policies, selling us solar panels and electric vehicles while expanding its own coal production and power plants.']",Balint,D
863,CREC-2025-03-27__CREC-2025-03-27-pt1-PgD304.txt,2025-03-27,,,1,,,,814,"[""86, expressing the sense of the Senate regarding United Nations General Assembly Resolution 2758 (XXVI) and the harmful conflation of China's ``One China Principle'' and the United States' ``One China Policy''; S."", ""98, condemning Beijing's destruction of Hong Kong's democracy and rule of law; S."", '821, to provide for increased reporting regarding Department of State Taiwan guidelines, with an amendment in the nature of a substitute; S.']",None,
412,CREC-2025-03-27__CREC-2025-03-27-pt1-PgH1307-2.txt,2025-03-27,PgH1307,H,1,2.0,Mr. PALLONE,Pallone,6010,"['By weakening these rules, we open our markets up to countries like China that manufacture low-efficiency products at the expense of American companies and American families.']",Pallone,D
